broad_cell_type,specific_cell_type,gene,gene_id
Epithelial,Epithelial,EPCAM,ENSG00000119888
Epithelial,Epithelial,KRT8,ENSG00000170421
Epithelial,Epithelial,KRT18,ENSG00000111057
Epithelial,Epithelial,KRT19,ENSG00000171345
Epithelial,Epithelial,CD24,ENSG00000272398
Epithelial,Epithelial,KLK2,ENSG00000167751
Epithelial,Epithelial,KLK3,ENSG00000142515
Epithelial,Epithelial,KLK4,ENSG00000167749
Epithelial,Epithelial,KRT13,ENSG00000171401
Endothelial,Endothelial,PECAM1,ENSG00000261371
Endothelial,Endothelial,VWF,ENSG00000110799
Endothelial,Endothelial,EGFL7,ENSG00000172889
Endothelial,Endothelial,CD34,ENSG00000174059
Endothelial,Endothelial,CDH5,ENSG00000179776
Endothelial,Endothelial,CDLN5,
Endothelial,Endothelial,RAMP2,ENSG00000131477
Endothelial,Endothelial,RAMP3,ENSG00000122679
Immune,Myeloid,CD74,ENSG00000019582
Immune,Myeloid,CD163,ENSG00000177575
Immune,Myeloid,CD14,ENSG00000170458
Immune,Myeloid,CD68,ENSG00000129226
Immune,Myeloid,LYZ,ENSG00000090382
Immune,NK/T,NKG7,ENSG00000105374
Immune,NK/T,GNLY,ENSG00000115523
Immune,NK/T,IL7R,ENSG00000168685
Immune,NK/T,CD8A,ENSG00000153563
Immune,NK/T,CD3D,ENSG00000167286
Immune,NK/T,CD3E,ENSG00000198851
Immune,NK/T,CD3G,ENSG00000160654
Immune,NK/T,CD4,ENSG00000010610
Immune,B,CD19,ENSG00000177455
Immune,B,CD79A,ENSG00000105369
Immune,B,CD79B,ENSG00000007312
Immune,B,MS4A1,ENSG00000156738
Immune,B,JCHAIN,ENSG00000132465
Immune,Osteoclast,ACP5,ENSG00000102575
Immune,Osteoclast,CTSK,ENSG00000143387
Immune,Osteoclast,MMP9,ENSG00000100985
Immune,Osteoclast,SIGLEC15,ENSG00000197046
Immune,Osteoclast,PFN1,ENSG00000108518
Mesenchymal,Osteoblast,COL1A1,ENSG00000108821
Mesenchymal,Osteoblast,COL1A2,ENSG00000164692
Mesenchymal,Osteoblast,ALPL,ENSG00000162551
Mesenchymal,Osteoblast,SP7,ENSG00000170374
Mesenchymal,Osteoblast,BGLAP,ENSG00000242252
Mesenchymal,Osteoblast,IBSP,ENSG00000029559
Mesenchymal,Osteoblast,SPP1,ENSG00000118785
Mesenchymal,Osteoblast,RUNX2,ENSG00000124813
Mesenchymal,Chondroblast,SOX9,ENSG00000125398
Mesenchymal,Chondroblast,COL2A1,ENSG00000139219
Mesenchymal,Chondroblast,MMP13,ENSG00000137745
Mesenchymal,Chondroblast,COL9A1,ENSG00000112280
Mesenchymal,MSC,CXCL12,ENSG00000107562
Mesenchymal,MSC,SFRP2,ENSG00000145423
Mesenchymal,MSC,MME,ENSG00000196549
Mesenchymal,Myoblast,RYR2,ENSG00000198626
Mesenchymal,Myoblast,TTN,ENSG00000155657
Mesenchymal,Myoblast,PAX7,ENSG00000009709
Mesenchymal,Myoblast,LAMA2,ENSG00000122180
Mesenchymal,Pericyte,RGS5,ENSG00000143248
Mesenchymal,Pericyte,ACTA2,ENSG00000107796
